participant,block,folder,role,image_1,image_2,image_3,image_4,image_5,image_6,selected_indices,response_time,status
SCAN1,1,easyA,guessor,\Users\mizwa\Desktop\BBI Tangrams\Tangrams_images\easyA\shape_12.png,\Users\mizwa\Desktop\BBI Tangrams\Tangrams_images\easyA\shape_47.png,\Users\mizwa\Desktop\BBI Tangrams\Tangrams_images\easyA\shape_27.png,\Users\mizwa\Desktop\BBI Tangrams\Tangrams_images\easyA\s_03.png,\Users\mizwa\Desktop\BBI Tangrams\Tangrams_images\easyA\shape_08.png,\Users\mizwa\Desktop\BBI Tangrams\Tangrams_images\easyA\shape_10.png,"e,c,,,,",96.755,completed
SCAN1,2,easyA,director,\Users\mizwa\Desktop\BBI Tangrams\Tangrams_images\easyA\shape_13.png,\Users\mizwa\Desktop\BBI Tangrams\Tangrams_images\easyA\shape_46.png,\Users\mizwa\Desktop\BBI Tangrams\Tangrams_images\easyA\shape_37.png,\Users\mizwa\Desktop\BBI Tangrams\Tangrams_images\easyA\shape_02.png,\Users\mizwa\Desktop\BBI Tangrams\Tangrams_images\easyA\shape_40.png,\Users\mizwa\Desktop\BBI Tangrams\Tangrams_images\easyA\s_05.png,,120.0,completed
SCAN1,N/A,N/A,N/A,,,,,,,,0.0,early_exit
